0 0 1006
19
1002 sarah_john Kumari 75 1 0 0 25.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
17
1000 sarah_john Mushkan 17 1 1 0 50.000000
1001 sarah_john Akshara 75 2 1 0 550.000000
1003 mushkan_kumari Passenger1 75 3 1 0 1050.000000
0 sam Kapoor 15 4 1 0 1550.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
19
1004 sam SAm 15 1 2 0 80.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
0 0 0 0 0 0 0 0.000000
